"TNS Name" SNR DM
FRB20180907A 15.3 877.24018825
FRB20180904A 40.8 361.13741453
FRB20181025A 18.8 592.56440287
FRB20180924A 18.2 1116.54562968
FRB20180915B 12.5 177.12696532
FRB20181118B 18.1 422.27714486
FRB20180917B 16.5 857.03764224
FRB20180916A 21.4 296.02752255
FRB20181119C 27.0 284.95936055
FRB20180919B 16.1 560.22136183
FRB20181013C 12.6 1005.7658392
FRB20181125A 18.3 272.19
FRB20181128D 47.0 146.50121395
FRB20181022C 15.0 528.47326162
FRB20180923C 15.0 173.98386715
FRB20181022E 15.5 285.98648612
FRB20181014D 13.6 377.13240918
FRB20180907D 12.3 1447.09830097
FRB20181017B 12.6 307.36886039
FRB20181030E 24.3 159.69023236
FRB20181219B 23.1 1952.16600728
FRB20181220B 13.4 257.79935597
FRB20181117B 17.1 538.20003934
FRB20181126A 51.6 494.21677209
FRB20180907B 15.4 658.18985425
FRB20181214C 29.1 632.78489476
FRB20181226D 24.2 385.37781979
FRB20181122B 64.9 225.75546587
FRB20181215B 24.8 494.01417753
FRB20181231A 28.3 1376.73240835
FRB20181116A 25.3 355.433048
FRB20180917A 19.0 189.91674001
FRB20180918A 14.0 1453.98815409
FRB20181202B 16.1 825.88341388
FRB20180923D 48.1 329.39961033
FRB20181130A 20.9 220.08962527
FRB20181213A 16.1 678.67157577
FRB20181223C 19.5 112.51181081
FRB20181219C 18.6 647.89134231
FRB20181201B 14.2 876.57676973
FRB20181027A 15.9 727.74400888
FRB20181224E 32.4 581.85373178
FRB20181221B 26.7 1395.02098318
FRB20181202A 27.0 667.95461102
FRB20181222E 17.7 327.97970975
FRB20181230C 14.3 1037.19397262
FRB20190128B 14.1 248.23022527
FRB20181213B 12.3 626.59320203
FRB20181127A 15.7 930.31680847
FRB20181231B 33.2 197.16974722
FRB20180907E 12.2 383.3593768
FRB20190130B 23.6 989.03065539
FRB20181226E 16.5 308.7619146
FRB20181226C 18.8 409.01838112
FRB20190102A 22.4 699.17272112
FRB20180910A 36.6 684.40807936
FRB20181022D 35.6 514.33425652
FRB20190131C 13.6 507.76181987
FRB20181217A 12.5 1177.1666311
FRB20180925B 12.0 667.86613781
FRB20190102B 22.9 367.16419406
FRB20181013A 25.6 309.30547554
FRB20190202A 101.0 307.3605026
FRB20181228A 12.6 748.67906519
FRB20181221A 18.6 316.23689373
FRB20181230E 13.9 1041.71328647
FRB20190116F 13.6 316.92025589
FRB20181115A 18.8 981.61323537
FRB20190212B 29.0 600.18664402
FRB20181223B 12.4 565.65501824
